critere,description,applicable,methode,resultat,preuve,correction,auditeur,date
1.1,Chaque image porteuse d’information a-t-elle une alternative textuelle ?,oui,"Inspection des composants Image et du radar, puis scénario axe sur accueil et replay.",CONFORME,desktop/src/app/page.tsx ; desktop/src/components/replay/MapRenderer.tsx ; test e2e accessibilité,,Codex,2026-07-21
1.2,Chaque image de décoration est-elle correctement ignorée par les technologies d’assistance ?,oui,Inspection des images décoratives et scénario axe : alternatives vides ou aria-hidden.,CONFORME,MapRenderer.tsx ; MatchViewer.tsx ; rapport Playwright axe,,Codex,2026-07-21
1.3,"Pour chaque image porteuse d’information ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?",oui,Comparaison des alternatives RoundLab et Interactive replay radar avec leur fonction.,CONFORME,page.tsx ; MapRenderer.tsx ; test e2e accessibilité,,Codex,2026-07-21
1.4,"Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle d’identifier la nature et la fonction de l’image ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun CAPTCHA ni image-test dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
1.5,"Pour chaque image utilisée comme CAPTCHA, une solution d’accès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun CAPTCHA dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
1.6,"Chaque image porteuse d’information a-t-elle, si nécessaire, une description détaillée ?",oui,Le radar complexe référence une alternative DOM détaillée synchronisée.,CONFORME,MapRenderer.tsx aria-describedby ; ReplayAccessibilitySummary.tsx,,Codex,2026-07-21
1.7,"Pour chaque image porteuse d’information ayant une description détaillée, cette description est-elle pertinente ?",oui,Le scénario seedé compare joueurs et événement avec la région descriptive.,CONFORME,desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
1.8,"Chaque image texte porteuse d’information, en l’absence d’un mécanisme de remplacement, doit si possible être remplacée par du texte stylé . Cette règle est-elle respectée (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucune image texte dans le périmètre inspecté.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
1.9,"Chaque légende d’image est-elle, si nécessaire, correctement reliée à l’image correspondante ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucune légende associée à une image complexe distincte ; le radar dispose de son alternative DOM.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
2.1,Chaque cadre a-t-il un titre de cadre ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun élément frame ou iframe dans le code et l’export statique.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
2.2,"Pour chaque cadre ayant un titre de cadre, ce titre de cadre est-il pertinent ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun élément frame ou iframe dans le code et l’export statique.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
3.1,"Dans chaque page web, l’ information ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?",oui,"Inspection des états : texte, icônes, aria-pressed et motifs complètent les couleurs.",CONFORME,MatchViewer.tsx ; DrawingToolbar.tsx ; scénarios commandes,,Codex,2026-07-21
3.2,"Dans chaque page web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?",oui,"axe-core exécuté sur accueil, dialogues et replay après correction du contraste texte.",CONFORME,rapport Playwright ; REC-12,,Codex,2026-07-21
3.3,"Dans chaque page web, les couleurs utilisées dans les composants d’interface ou les éléments graphiques porteurs d’informations sont-elles suffisamment contrastées (hors cas particuliers) ?",oui,Critère identifié comme applicable ; preuve spécifique insuffisante pour conclure sans extrapoler.,NON DÉMONTRÉ,"Revue du code source, de l’export statique et des scénarios Playwright du 2026-07-21 ; contrôle ciblé restant requis.",,Codex,2026-07-21
4.1,"Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audiodescription (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.2,"Pour chaque média temporel pré-enregistré ayant une transcription textuelle ou une audiodescription synchronisée, celles-ci sont-elles pertinentes (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.3,"Chaque média temporel synchronisé pré-enregistré a-t-il, si nécessaire, des sous-titres synchronisés (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.4,"Pour chaque média temporel synchronisé pré-enregistré ayant des sous-titres synchronisés, ces sous-titres sont-ils pertinents ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.5,"Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audiodescription synchronisée (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.6,"Pour chaque média temporel pré-enregistré ayant une audiodescription synchronisée, celle-ci est-elle pertinente ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.7,Chaque média temporel est-il clairement identifiable (hors cas particuliers) ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
